IdDon;Auteur;Intermediaire;IdBene;Beneficiaire;Statut;Nature;Lieu;Formes;Poids;Prix;Informations;Sources
21;Jean sans Peur;;2225;Beatrix de Bauthven (?);Damoiselle de la duchesse;Pour faire une robe;Compiègne;5 aunes de soie d'Ypres;;15 s./aune;24 June 1406;ADCO, B 1543, f° 149 r°
22;Jean sans Peur;;2224;Beatrix de Wavrin;Damoiselle de la duchesse;Pour faire une robe;Compiègne;5 aunes de soie d'Ypres;;15 s./aune;24 June 1406;ADCO, B 1543, f° 149 r°
23;Jean sans Peur;;2243;Berthelot Cliot ou Clyot (?);;Aucune mention particulière;Aucune mention;1 drap de soie;;120 fr. 5 s. t. monn. royal;12 October 1408;ADCO, B 1556, f° 95 v°
24;Jean sans Peur;;2143;Bertrand de Remenvel;Chambellan du duc;Aucune mention particulière;Paris;1 robe en drap d'Ypres noir;;;25 November 1410;ADCO, B 1560, f° 164 v°
25;Jean sans Peur;;2251;Catherine de Sicile;;Aucune mention particulière;Paris;1 chambre de taffetas vermeil ;;;28 July 1410;ADCO, B 1560, f° 163 v°
26;Jean sans Peur;;2262;Charles Ier d'Orléans;Duc d'Orléans et cousin du duc;Aucune mention particulière;Aucune mention;1 harnois de drap noir, blanc et vert;;4 fr. monn. royal;13 January 1413;ADCO, B 1571, f° 139 r° et 139 v°
27;Jean sans Peur;;2249;Charles III de Navarre;Roi de Navarre;Aucune mention particulière;Aucune mention;1 houppelande en velours en tissu à or;;281 fr. 1 s. t. monn. royal;1 November 1409;ADCO, B 1558, f° 137 v°
28;Jean sans Peur;;2211;Colin;Aide de garde-robe de la duchesse de Guyenne;Aucune mention particulière;Paris;1 robe de drap noir;;18 s./p.;1 October 1405;ADCO, B 1543, f° 146 v°
29;Jean sans Peur;;2244;Conrad de Juinche;Chevalier;"""Lesqulez ont este nouveaux chevaliers oy voyage derrain fait ou pais du Liege pour faire chacune une robe""";Aucune mention;1 pièce de velours de satin vermeil;;32 écus;4 December 1408;ADCO, B 1556, f° 95 v°
30;Jean sans Peur;;2244;Conrad de Juinche;Chevalier et chambellan du duc;"""A son retour du pais du Liege et lequel ycellui seigneur fist chevalier oudit pays""";Aucune mention;1 robe fourrée de martres;;Aucune mention;4 December 1408;ADCO, B 1556, f° 100 r°
31;Jean sans Peur;;2244;Conrad de Juinche;Chambellan du duc;Aucune mention particulière;Paris;1 robe en drap d'Ypres noir;;;25 November 1410;ADCO, B 1560, f° 164 v°
32;Jean sans Peur;;2234;Daniel Nain (?);Fauconnier du duc;Aucune mention particulière;Aucune mention;1 robe;;Aucune mention;2 April 1407;ADCO, B 1547, f° 135 r°
33;Jean sans Peur;;2234;Daniel Nain (?);Fauconnier du duc;Aucune mention particulière;Aucune mention;1 robe en laine;;Aucune mention;2 November 1407;ADCO, B 1554, f° 135 r°
34;Jean sans Peur;;1008;Diogo Oliveira;Ecuyer portugais;Lors d'une ambassade d'Olivier Diago, représentant du roi du Portugal, auprès du duc;Aucune mention;1 robe en drap de Damas fourrée de 300 martres;;194 fr. monn. royal;14 octobre 1412 (quittance);ADCO, B 1571, f° 135 v°
35;Jean sans Peur;;527;Dreue d'Asnieres;Ecuyer de feu le duc d'Orléans;Aucune mention particulière;Aucune mention;1 chambre de tapisserie blanche;;112 fr. monn. royal;2 March 1408;ADCO, B 1547, f° 140 r°
36;Jean sans Peur;;5617;Edmond Mortemer ou Mortimer;Seigneur de Mortemer ou Mortimer, ambassadeur du roi d'Angleterre;Lors d'une ambassade auprès du duc à Ypres;Ypres;7 velours cramoisis vermeils figurés de feuillage quatre parties de deux vers et de fleurettes blanches brochées de grandes ficelles d'or (A) + 2 pièces et 5 aunes de drap de Damas cramoisi vermeil (B) + 1 couple contenant 2 pièces et 6 aunes et demie de drap de Damas vermeil teint en graine cramoisie (C);;84 l. de 30 gros nouvelle monn. de Flandre la livre/p. (A) + 36 l. de 30 gros nouvelle monn. de Flandre la livre/p. (B) + 34 l. de 30 gros nouvelle monn. de Flandre la livre/p. (C);6 August 1414;ADN, B 1903, f° 123 v°
37;Jean sans Peur;;719;Elyon de Jacqueville;Chevalier, conseiller et chambellan du duc;Pour faire une houppelande;Aucune mention;2 pièces de satin noir figuré;;112 fr. demi monn. royal;20 June 1413;ADCO, B 1572, f° 48 r°
38;Jean sans Peur;;223;Enguerrand Cadot;Fauconnier du duc;Aucune mention particulière;Aucune mention;1 robe;;Aucune mention;2 April 1407;ADCO, B 1547, f° 135 r°
39;Jean sans Peur;;223;Enguerrand Cadot;Fauconnier du duc;Aucune mention particulière;Aucune mention;1 robe en laine;;Aucune mention;2 November 1407;ADCO, B 1554, f° 135 r°
40;Jean sans Peur;;2231;Francois Martin;Demeurant à Paris;Aucune mention particulière;;1 chambre de tapiserie d'Arras armoriée de celles du duc de Bourgogne;;Aucune mention;25 August 1406;DE LABORDE, Les ducs de Bourgogne, étude sur les lettres, les arts et l'industrie pendant le XVe siècle, t. I, 1851, n° 88a, p. 22
41;Jean sans Peur;;201;Geoffroy Maupoivre;Physicien du duc;Aucune mention particulière;Aucune mention;1 robe;;12 fr. monn. royal;7 September 1407;ADCO, B 1547, f° 128 v°
42;Jean sans Peur;;282;Gillot du Molin;Valet de chambre du duc;Aucune mention particulière;Paris;1 drap;;12 fr. monn. royal;10 May 1407;ADCO, B 1554, f° 129 r°
43;Jean sans Peur;;282;Gillot du Molin;Valet de chambre du duc;Aucune mention particulière;Aucune mention;Des draps;;12 fr. monn. royal;18 November 1407;ADCO, B 1547, f° 129 r°
44;Jean sans Peur;;374;Girard de Bourbon;Chevalier, conseiller et chambellan du duc;Pour faire une houppelande pour les noces de Jean de Bourbon, fils de Girart de Bourbon;Aucune mention;22 aunes;;72 fr. 19 s. 4 d. t. monn. royal;7 March 1411;ADCO, B 1562, f° 55 v°
45;Jean sans Peur;;205;Guillaume Bonnier;Bailli de Hesdin et conseiller du duc;Pour ses étrennes;Aucune mention;Un drap de laine écarlate d'Ypres;;Aucune mention;1 January 1408;ADCO, B 1554, f° 135 r°
46;Jean sans Peur;;205;Guillaume Bonnier;Chevalier, conseilller, chambellan et gouverneur d'Arras;Pour faire une robe;Aucune mention;2 pièces et demie de velours figuré sur satin noir;;110 écus monn. royal;26 May 1411;ADCO, B 1570, f° 226 v°
47;Jean sans Peur;;205;Guillaume Bonnier;Seigneur de Bonnières, conseiller et chambellan du duc;Aucune mention particulière;Gand;2 fluyaux (?) noirs;;60 l. de 30 gros nouvelle monn. de Flandre la livre;1 October 1414;ADN, B 1903, f° 124 v°
48;Jean sans Peur;;1692;Guillaume de Boisratier;Ambassadeur du Dauphin et du duc de Berry;Lors d'une ambassade devant le duc de Bourgogne;Arras;Des draps de laine écarlate vermeille;;6 écus/p.;14 February 1408;ADCO, B 1554, f° 131 r°
49;Jean sans Peur;;1692;Guillaume de Boisratier;Ambassadeur du Dauphin et du duc de Berry;Lors d'une ambassade auprès du duc à Lille au nom du Dauphin Louis et du duc de Berry;Arras;Des tissus d'écarlate vermeille (partagés);;155 écus d'or;14 February 1408;ADCO, B 1547, f° 131 r°
50;Jean sans Peur;;67;Guillaume de Bours, dit Wittard;Chevalier;Aucune mention particulière;Aucune mention;1 houppelande en satin vermeil de Neuchâtel;;24 s./aune;23 June 1409;ADCO, B 1558, f° 129 v°
51;Jean sans Peur;;67;Guillaume de Bours, dit Wittard;Chambellan du duc;Aucune mention particulière;Paris;1 robe en drap d'Ypres noir;;;25 November 1410;ADCO, B 1560, f° 164 v°
52;Jean sans Peur;;63;Guillaume de Champdivers;;"""Pour aller en Behaigne ou mon dit seigneur les envoyoit lors pour le mariage de monseigneur le duc de Brabant""";Aucune mention;1 pièce de baudequins de plusieurs couleurs;;15 fr. monn. royal/p.;4 August 1408;ADCO, B 1556, f° 96 r° et 96 v°
53;Jean sans Peur;;63;Guillaume de Champdivers;Seigneur de Champdivers, conseiller du duc;Aucune mention particulière;Aucune mention;1 robe de gris de Rouen;;Aucune mention;1416;DE LABORDE, Les ducs de Bourgogne, étude sur les lettres, les arts et l'industrie pendant le XVe siècle, t. I, 1851, n° 420, p. 138
54;Jean sans Peur;;215;Guillaume de Neuville, dit Le Moine de Neuville;Ecuyer tranchant du duc;Aucune mention particulière;Ypres;1 drap de Damas teint en graine;;36 écus de 43 gros vieille monn. de Flandre l'écu;3 August 1414;ADN, B 1903, f° 123 r° et 123 v°
55;Jean sans Peur;;195;Guillaume II de Gamaches;Seigneur de Gamaches;"""Pour aller en Behaigne ou mon dit seigneur les envoyoit lors pour le mariage de monseigneur le duc de Brabant""";Aucune mention;1 pièce de baudequins de plusieurs couleurs;;15 fr. monn. royal/p.;4 August 1408;ADCO, B 1556, f° 96 r° et 96 v°
56;Jean sans Peur;;225;Guillaume IV de Vienne;Seigneur de Saint-Georges et de Sainte-Croix, chevalier du duc;Aucune mention particulière;Aucune mention;1 houppelande en satin vermeil de Neuchâtel;;24 s./aune;23 June 1409;ADCO, B 1558, f° 129 v°
57;Jean sans Peur;;996;Guillaume Le Martin;Tailleur et valet de chambre du duc;Aucune mention particulière;Paris;1 drap;;12 fr. monn. royal;10 May 1407;ADCO, B 1554, f° 129 r°
58;Jean sans Peur;;996;Guillaume Le Martin;Tailleur et valet de chambre du duc;Aucune mention particulière;Aucune mention;Des draps;;12 fr. monn. royal;18 November 1407;ADCO, B 1547, f° 129 r°
59;Jean sans Peur;;161;Guillaume Sanguin;Echanson du duc;"""Donnez de sa grace especiale""";Paris;2 draps de soie;;100 fr. monn. royal;13 December 1409;ADCO, B 1558, f° 129 r° et 129 v°
60;Jean sans Peur;;51;Guillaume Viguier;Secrétaire du duc;Pour faire un pourpoint;Aucune mention;1 pièce de satin noir ;;22 fr. monn. royal;30 December 1408;ADCO, B 1556, f° 94 v°
61;Jean sans Peur;;883;Hayne Darbo (?);;"""Pour aller en Behaigne ou mon dit seigneur les envoyoit lors pour le mariage de monseigneur le duc de Brabant""";Aucune mention;1 pièce de baudequins de plusieurs couleurs;;15 fr. monn. royal/p.;4 August 1408;ADCO, B 1556, f° 96 r° et 96 v°
62;Jean sans Peur;;802;Hennequin de Beauvais;Fauconnier du duc;Aucune mention particulière;Aucune mention;1 robe;;Aucune mention;2 April 1407;ADCO, B 1547, f° 135 r°
63;Jean sans Peur;;802;Hennequin de Beauvais;Fauconnier du duc;Aucune mention particulière;Aucune mention;1 robe en laine;;Aucune mention;2 November 1407;ADCO, B 1554, f° 135 r°
64;Jean sans Peur;;372;Hennequin de Warat;Valet de pied du duc;"""Pour faire une robe""";Paris;1 houppelande doublée de blanc;;1 fr. monn. royal;15 November 1410;ADCO, B 1560, f° 156 v°
65;Jean sans Peur;;372;Hennequin de Warat;;Aucune mention particulière;Paris;1 houppelande de Neuchâtel à mi-jambe;;;16 January 1411;ADCO, B 1560, f° 157 r°
66;Jean sans Peur;;122;Henri Laleure;Valet de chambre de la duchesse de Guyenne;Aucune mention particulière;Paris;1 robe de drap noir;;18 s./p.;1 October 1405;ADCO, B 1543, f° 146 v°
67;Jean sans Peur;Jean de Sacquespee;2258;Henry Chichele;Evêque de Saint-David, conseiller et ambassadeur du roi d'Angleterre;"""Envoiez de par lui devers mon dit seigneur en sa dicte ville Darras""";Arras;2 tables d'autel;;240 l. de 30 gros nouvelle monn. de Flandre;16 October 1411;ADCO, B 1570, f° 219 r°
68;Jean sans Peur;Jean de Sacquespee;2258;Henry Chichele;Evêque de Saint-David, conseiller et ambassadeur du roi d'Angleterre;"""Envoiez de par lui devers mon dit seigneur en sa dicte ville Darras""";Arras;1 tapis contenant 149 aunes;;104 l. 6 s. de 30 gros nouvelle monn. de Flandre;16 October 1411;ADCO, B 1570, f° 219 r°
69;Jean sans Peur;;459;Huguenin Bertaut;Clerc de la chapelle de la duchesse de Guyenne;Aucune mention particulière;Paris;1 robe verte;;4 fr. 7 s. 5 d. t. ;12 December 1405;ADCO, B 1543, f° 146 v°
70;Jean sans Peur;;459;Huguenin Bertaut;Clerc de la chapelle de la duchesse de Guyenne;Aucune mention particulière;Aucune mention;4 aunes de drap;;24 s./aune;21 December 1406;ADCO, B 1547, f° 101 r°
71;Jean sans Peur;;239;Huguenin de Nanton;;"""Pour aller en Behaigne ou mon dit seigneur les envoyoit lors pour le mariage de monseigneur le duc de Brabant""";Aucune mention;1 pièce de baudequins de plusieurs couleurs;;15 fr. monn. royal/p.;4 August 1408;ADCO, B 1556, f° 96 r° et 96 v°
72;Jean sans Peur;;882;Huguenin du Bois;;"""Pour aller en Behaigne ou mon dit seigneur les envoyoit lors pour le mariage de monseigneur le duc de Brabant""";Aucune mention;1 pièce de baudequins de plusieurs couleurs;;15 fr. monn. royal/p.;4 August 1408;ADCO, B 1556, f° 96 r° et 96 v°
73;Jean sans Peur;;504;Hugues de Lannoy;;Aucune mention particulière;Aucune mention;1 robe + 1 chaperon;;Aucune mention;3 May 1407;ADCO, B 1547, f° 128 r°
74;Jean sans Peur;;504;Hugues de Lannoy;Chambellan du duc;Aucune mention particulière;Paris;1 robe en drap d'Ypres noir;;;25 November 1410;ADCO, B 1560, f° 164 v°
75;Jean sans Peur;;1396;Hugues de Sailly;Ecuye et échanson du duc;"""Pour ses nopces""";Ypres;1 robe de drap de Damas noir fourrée de martres;;210 l. t. monn. royal;4 July 1417;ADN, B 4090, f° 135 v°
76;Jean sans Peur;Jean de Sacquespee;2256;Humphrey de Lancastre;Comte de Pembroke, conseiller et ambassadeur du roi d'Angleterre;"""Envoiez de par lui devers mon dit seigneur en sa dicte ville Darras""";Arras;1 tapis d'or;;90 l. de 30 gros nouvelle monn. de Flandre;15 October 1411;ADCO, B 1570, f° 218 v°
77;Jean sans Peur;Jean de Sacquespee;2256;Humphrey de Lancastre;Comte de Pembroke, conseiller et ambassadeur du roi d'Angleterre;"""Envoiez de par lui devers mon dit seigneur en sa dicte ville Darras""";Arras;1 tapis contenant 94 aunes ;;201 l. 12 s. de 30 gros nouvelle monn. de Flandre;16 October 1411;ADCO, B 1570, f° 218 v°
78;Jean sans Peur;Jean de Sacquespee;2256;Humphrey de Lancastre;Comte de Pembroke, conseiller et ambassadeur du roi d'Angleterre;"""Envoiez de par lui devers mon dit seigneur en sa dicte ville Darras""";Arras;1 tapis contenant 70 aunes avec plusieurs images de belles filles;;98 l. de 30 gros nouvelle monn. de Flandre;16 October 1411;ADCO, B 1570, f° 218 v° et 219 r°
79;Jean sans Peur;;2256;Humphrey de Lancastre;Duc de Gloucester et cousin du duc;Présence du duc à Calais;Aucune mention;1 drap cramoisi broché d'or;;Aucune mention;20 octobre 1416 (mandement);DE LABORDE, Les ducs de Bourgogne, étude sur les lettres, les arts et l'industrie pendant le XVe siècle, t. I, 1851, n° 411, p. 135
80;Jean sans Peur;;2228;Isabeau de Semur;Damoiselle de la duchesse;Pour faire une robe;Compiègne;5 aunes de soie d'Ypres;;15 s./aune;24 June 1406;ADCO, B 1543, f° 149 r°
81;Jean sans Peur;;204;Jacques de Courtiambles;;Aucune mention particulière;Aucune mention;1 robe + 1 chaperon;;Aucune mention;26 May 1407;ADCO, B 1547, f° 128 v°
82;Jean sans Peur;;204;Jacques de Courtiambles;;Aucune mention particulière;Aucune mention;1 tabard en drap bleu;;Aucune mention;14 August 1407;ADCO, B 1556, f° 98 v°
83;Jean sans Peur;;204;Jacques de Courtiambles;;Aucune mention particulière;Paris;1 houppelande fourrée;;Aucune mention;7 September 1407;ADCO, B 1547, f° 131 v°
84;Jean sans Peur;;204;Jacques de Courtiambles;;Aucune mention particulière;Paris;1 houppelande grise fourrée;;42 fr. monn. royal;26 April 1408;ADCO, B 1554, f° 131 v°
85;Jean sans Peur;;204;Jacques de Courtiambles;;Aucune mention particulière;Paris;1 robe;;Aucune mention;2 May 1408;ADCO, B 1547, f° 126 v°
86;Jean sans Peur;;204;Jacques de Courtiambles;;Aucune mention particulière;Paris;1 robe en laine grise de Montivilliers;;Aucune mention;31 May 1408;ADCO, B 1554, f° 126 v°
87;Jean sans Peur;;204;Jacques de Courtiambles;Chevalier ;Aucune mention particulière;Aucune mention;1 houppelande en satin vermeil de Neuchâtel;;24 s./aune;23 June 1409;ADCO, B 1558, f° 129 v°
88;Jean sans Peur;;204;Jacques de Courtiambles;Chevalier ;Aucune mention particulière;Aucune mention;1 chaperon sangle en satin écarlate;;3 fr. monn. royal;23 June 1409;ADCO, B 1558, f° 130 r°
89;Jean sans Peur;;204;Jacques de Courtiambles;Conseiller et chambellan du duc;Aucune mention particulière;Paris;1 manteau avec un fermail d'or garni de cinq grosses perles, un rubis au milieu et un diamant plat dessus;;;18 October 1410;ADCO, B 1560, f° 162 r°
90;Jean sans Peur;;444;Jacques de Longroy;Seigneur de Longroy;Aucune mention particulière;Paris;1 chaperon blanc;;Aucune mention;3 May 1407;ADCO, B 1554, f° 128 r°
91;Jean sans Peur;;2162;Jacques de Villers;Maître fauconnier du duc;Aucune mention particulière;Aucune mention;1 robe;;Aucune mention;2 April 1407;ADCO, B 1547, f° 135 r°
92;Jean sans Peur;;2162;Jacques de Villers;Maître fauconnier du duc;Aucune mention particulière;Aucune mention;1 robe en laine;;Aucune mention;2 November 1407;ADCO, B 1554, f° 135 r°
93;Jean sans Peur;;2160;Jacques du Bois;;"""Pour aller en Behaigne ou mon dit seigneur les envoyoit lors pour le mariage de monseigneur le duc de Brabant""";Aucune mention;1 pièce de baudequins de plusieurs couleurs;;15 fr. monn. royal/p.;4 August 1408;ADCO, B 1556, f° 96 r° et 96 v°
94;Jean sans Peur;;2251;Jacques II de Bourbon;Comte de La Marche;Le don est fait par le duc de Bourgogne et le roi de Navarre, chacun payant la moitié;Paris;1 drap de tissu à or;;113 fr. monn. royal;20 November 1409;ADCO, B 1558, f° 136 v° et 137 r°
95;Jean sans Peur;;422;Jacques III de Heilly;;Aucune mention particulière;Aucune mention;1 tabard en drap bleu;;Aucune mention;14 August 1407;ADCO, B 1556, f° 98 v°
96;Jean sans Peur;;422;Jacques III de Heilly;Seigneur de Heilly;Aucune mention particulière;Aucune mention;Des pannes à grandes bombardes en satin et drap de Damas;;Aucune mention;16 May 1408;ADCO, B 1556, f° 102 r°
97;Jean sans Peur;;422;Jacques III de Heilly;Conseiller et chambellan du duc;Aucune mention particulière;Paris;1 robe en satin de soie figuré;;450 fr. (l'ensemble);23 August 1410;ADCO, B 1560, f° 160 v°
98;Jean sans Peur;;422;Jacques III de Heilly;Seigneur de Heilly, chambellan du duc;Aucune mention particulière;Paris;1 robe en drap d'Ypres noir;;;25 November 1410;ADCO, B 1560, f° 164 v°
99;Jean sans Peur;;2230;Jacquette de Blaisy;Epouse de Jacques de Courtiambles, chevalier, conseiller et chambellan du duc;"""Pour lui faire une robe""";Paris;2 pièces et demie de satin renforcé;;160 fr. 12 s. 6 d. t. monn. royal;24 August 1406;ADCO, B 1543, f° 151 v°
100;Jean sans Peur;;2227;Jacquette de Le Zippe;Damoiselle de la duchesse;Pour faire une robe;Compiègne;5 aunes de soie d'Ypres;;15 s./aune;24 June 1406;ADCO, B 1543, f° 149 r°
101;Jean sans Peur;;939;Jacquette d'Orges;Damoiselle de la duchesse;Pour faire une robe;Compiègne;5 aunes de soie d'Ypres;;15 s./aune;24 June 1406;ADCO, B 1543, f° 149 r°
102;Jean sans Peur;;2246;Jean Bay/Vay (?);Chevalier;"""Pour lui faire une robe pareille aux autres de sa livree""";Aucune mention;4 aunes demie de vermeil;;5 fr. 4 s. p. ;28 February 1409;ADCO, B 1556, f° 97 r° et 97 v°
103;Jean sans Peur;;2241;Jean Burde/Jean Vrude (?);;"""Pour aller en Behaigne ou mon dit seigneur les envoyoit lors pour le mariage de monseigneur le duc de Brabant""";Aucune mention;1 pièce de baudequins de plusieurs couleurs;;15 fr. monn. royal/p.;4 August 1408;ADCO, B 1556, f° 96 r° et 96 v°
104;Jean sans Peur;Jean de Sacquespee;2257;Jean Cadric (?);Conseiller et ambassadeur du roi d'Angleterre;"""Envoiez de par lui devers mon dit seigneur en sa dicte ville Darras""";Arras;1 tapis contenant 96 aunes;;115 l. 4 s. de 30 gros nouvelle monn. de Flandre;16 October 1411;ADCO, B 1570, f° 219 r°
105;Jean sans Peur;Barthelemy Betin;2255;Jean Carmier (?);Ancien écuyer et chambellan du duc;"""Que lors il envoya en Angleterre pour embassade et pour ses paines et travaulx""";Paris;400 martres (A) + 4 pièces de draps de Damas (B);;143 écus (A) + 132 écus (B);October 1411;ADCO, B 1576, f° 176 r° et 176 v°
106;Jean sans Peur;;61;Jean Chasserat;Chevaucheur du duc;Aucune mention particulière;Paris;1 houppelande de Neuchâtel à mi-jambe valant 1 fr.;;1 fr. monn. royal;15 November 1410;ADCO, B 1560, f° 156 v°
107;Jean sans Peur;;2261;Jean de Bourbon;Duc de Bourbon;Aucune mention particulière;Aucune mention;1 houppelande à mi-jambe en velours noir figuré et broché d'or valant 820 fr. (les trois);;820 fr. monn. royal (les trois);30 September 1412;ADCO, B 1571, f° 134 v° et 135 r°
108;Jean sans Peur;;2261;Jean de Bourbon;Duc de Bourbon;Pour fourrer une houppelande;Aucune mention;Des martres;;606 fr. 5 s. t. monn. royal;22 November 1412;ADCO, B 1572, f° 49 v°
109;Jean sans Peur;;2260;Jean de Bussy;Fol du duc;Pour avoir une robe;Aucune mention;4 aunes de drap vert brun;;6 fr. monn. royal;8 May 1412;ADCO, B 1571, f° 138 v° et 139 r°
110;Jean sans Peur;;2260;Jean de Bussy;Fol du duc;Pour doubler ladite robe;Aucune mention;4 aunes de drap vert brun;;6 fr. monn. royal;8 May 1412;ADCO, B 1571, f° 138 v° et 139 r°
111;Jean sans Peur;;293;Jean de Chevenon;Ecuyer, conseiller et chambellan du duc;Aucune mention particulière;Paris;1 robe en laine grise;;Aucune mention;10 May 1407;ADCO, B 1554, f° 128 r°
112;Jean sans Peur;;504;Jean de Chissey;Veneur du duc;Aucune mention particulière;Paris;1 houppelande de Neuchâtel à mi-jambe doublée de blanc;;;4 December 1410;ADCO, B 1560, f° 157 r°
113;Jean sans Peur;;2239;Jean de Cottebrune;;"""Pour aller en Behaigne ou mon dit seigneur les envoyoit lors pour le mariage de monseigneur le duc de Brabant""";Aucune mention;1 pièce de baudequins de plusieurs couleurs;;15 fr. monn. royal/p.;4 August 1408;ADCO, B 1556, f° 96 r° et 96 v°
114;Jean sans Peur;;2254;Jean de Craon;Seigneur de La Suze, chevalier, conseiller et chambellan du duc de Bretagne;"""Pour pluseurs services quil avoit faiz a mon dit seigneur""";Aucune mention;1 chambre faite de tapisseries;;236 fr. 5 s. t. monn. royal;1 August 1411;ADCO, B 1570, f° 221 v°
115;Jean sans Peur;;693;Jean de Jeumont-Barbancon;Chevalier et chambellan du duc;Aucune mention particulière;Aucune mention;7 aunes de brun vert;;14 fr. monn. royal;10 August 1408;ADCO, B 1556, f° 97 r°
116;Jean sans Peur;;127;Jean de Kernezem;Ecuyer d'écurie du duc;Aucune mention particulière;Paris;300 martres;;120 écus;2 July 1409;ADCO, B 1560, f° 155 v°
117;Jean sans Peur;;286;Jean de La Tremoille;;"""Pour aller en Behaigne ou mon dit seigneur les envoyoit lors pour le mariage de monseigneur le duc de Brabant""";Aucune mention;1 pièce de baudequins de plusieurs couleurs;;15 fr. monn. royal/p.;4 August 1408;ADCO, B 1556, f° 96 r° et 96 v°
118;Jean sans Peur;;286;Jean de La Tremoille;Conseiller et chambellan du duc;Aucune mention particulière;Paris;1 robe en satin de soie figuré;;450 fr. (l'ensemble);23 August 1410;ADCO, B 1560, f° 160 v°
