IdDon;Auteur;Intermediaire;IdBene;Beneficaire;Statut;Nature;Lieu;Formes;Poids;Prix;Informations;Sources
11;Jean sans Peur;;650;Jean Ier de Croÿ;Seigneur de Croÿ et de Renty, chevalier, conseiller et chambellan du duc;"""Lequel mondit seigneur par ses lettres donnee a Arras le premier jour de novembre 1404 et pour les causes en ycelles contenues a retenu en sondit conseiller ledit chevalier et pour luy aidier a supporte les charges quil luy a convenu et convienra faire et supporte oudit service mondit seigneur lui a ordonne avoir et prendre de lui chacun an de pension la somme de 500 l. t. tant comme il lui plaira audit seigneur a deux termes en lan cest assavoir au premier jour de fevrier et au premier jour daoust ensuivant a commence pour le premier paiement au premier jour de fevrier""";Arras;Pension de 500 l.t./an, payée en deux termes (le 1er février et le 1er août);;;1 November 1404;ADCO, B 1547, f° 67 v°
12;Jean sans Peur;;502;Guillaume de Saint-Mesmes;Ecuyer-échanson du duc et serviteur de Marguerite de Bourgogne, duchesse de Guyenne;"""A tous ceux que ces lettres verront Guillaume, seigneur de Tignonville, chevalier, conseiller et chambellan du Roy notre seigneur, garde de la prevoste de Paris, salut. Savoir faisons que nous lan mil quatre cens et quatre le samedi XXIe jour de fevrier unes lettres scellees si comme il apparoit du scel de monseigneur le duc de Bourgoingne, Conte de Nevers, contenant ceste somme. Jehan, duc de Bourgoingne, Conte de Nevers et baron de Donzi, a notre ame Jehan de Velery, maistre de notre chambre aux deniers et commis a la Recepte generale de noz finances salut. Savoir vous faisons que pour consideracion des bons, notables et aggreables services que nous a fais ou temps passe, fait de jour en jour et esperons quil face ou temps avenir, et quil fait ung chacun jour a notre tres chiere et tres aimee fille, ma dame la duchesse de Guyenne, Guillaume de Saint Mesmes, notre escuier eschanson dont aucunement il na este recompensez ou remunerees, et aussi pour ce que ses varles en lostel de madite dame de Guyenne nont presens aucuns gaiges ou livree ou temps pass. Nous, audit Guillaume, pour les causes avant dites, avons donne et octroie, donnons et octroions par ces presentes la somme de Cent cinquante livres tournois de pension par an parmi ce que il sera tenu de faire  continuelment residenc avec notre dite fille pour lui aidier a soustenir son estat alecontre de notre dite fille, a prendre et avoir des deniers de notre Recepte un chacun an aux termes et cy la maniere qui sensuit. Cest assavoir a commencier ledit premier terme dudit premier paiement a la Toussains derrenierement passee pour consideracion de ce quil a servy notre dite fille par avant ladite Toussains jusques a present sans avoir aucuns gaiges ou livree, et lautre terme a Pasques charneulx prochainement venant. Si voulons et vous mandons que des deniers de votre dite Recepte vous paiez, baillez et delivrez pour ledit premier terme de Toussains derrenierement passee audit Guillaume la moitie desdis Cent cinquante livres tournois et lautre moitie au terme de Pasques prouchainement venant comme dit est, et aussi chacun an et de terme en terme tant comme il nous plaira et jusques a ce que autrement nous par avons pourveu et ordonne, sans ifficulte quelconque tellement que pour cause de non paie aux termes et par la maniere que dit est il nait cause de laissier le service de notre dite fille et par rapportant pour une fois copie de ces presentes soubz scel autentique ou collacionnee parl un de noz secretaires avecques quictance dudit Guillaume. Nous mandons la dite somme de Cent cinquante livres tournois estre allouee en vo comptes et rabatus de votre dite Recepte sans contredit par noz ame et feaulx gens de noz comptes a Dijon, non obstant quelconques ordonnances, mandemens ace contraire. Donne a Paris le XVIe jour de fevrier lan de grace mil quatre cens et quatre, ainsi signe par monseigneur [...] nous a cest present transcript avons mis le scel de ladite prevoste de Paris lan et jour dessus dis""";Paris;Pension de 150 l. t./an, payée en deux termes (la Toussaint et Pâques) + 75 l. t. monn. royal pour le terme de la Toussaint 1404;;;16 February 1405;ADCO, B 367, liasse 5, c. 199
13;Jean sans Peur;;502;Guillaume de Saint-Mesmes;Ecuyer-échanson du duc et serviteur de Marguerite de Bourgogne, duchesse de Guyenne;"""Sachent tint que Guillaume de Saint Mesme, escuier et eschanson de monseigneur le duc de Bourgoingne. Confesse avoir eu et receu de Jehan de Velery, maistre de la chambre aux deniers et commis a la Recepte generale des finances de mondit seigneur le duc, la somme de quarente quatre frans. Sur ce quil me peut ou pourra estre deu a cause de certaine pancion que mondit seigneur ma ordonne prendre et avoir de lui par an. De laquelle somme de XLIIII fr. je me tieng pour content et en quicte mondit seigneur, ledit Velery et tous autres. Tesmoing mon scel cy mis le Ve jour de mars mil quatre cens et quatre.[Sceau]""";Aucune mention;44 fr. monn. royal (quittance);;;5 March 1405;ADCO, B 367, liasse 5, c. 199
14;Jean sans Peur;;217;Guillaume II de Namur;Comte de Namur;"""A monseigneur le conte de Namur lequel mondit seigneur pour consideracion des bons et agreables services quil fist a feu monseigneur au dieu pardoint et a mondit seigneur an [...] dudit feu monseigneur fat chacun jour ancelli monseigneur et espere que face en temps avenir et adfin que des ores en avant il soit plus astraint et tenu de y comancer et perseverer yceli mondit seigneur par ses lectres donnez a Arras le dernier jour de mars 1404 et pour les causes plus a plain nommer en ycelles aledit monseigneur de Namur son conseiller et pour ce faice lui a ordonne mondit seigneur prendre et avoir de lui la somme de 3000 francs chacun an tant il lui plaira par la main du receveur general de toutes les finances present et advenir a Paris a 3 commes en lan cest assavoir de 4 moys en 4 moys par egal, le presens terme commencant le premier jour daoust lan 1405""";Arras;Pension de 3000 fr/an, payée en trois termes tous les 4 mois.;;;31 March 1405;ADCO, B 1547, f° 74 v°
15;Jean sans Peur;;2158;Jean de Euviont (?);;Pension de 100 florins/an ;Aucune mention;Pension de 100 florins/an;;;19 June 1405;ADCO, B 1556, f° 56 r°
16;Jean sans Peur;;677;Baudouin, dit Beaugois d'Ailly;Chevalier, conseiller et chambellan du duc, vidame d'Amiens;"""Pour sa pension qui est de 500 fr. par an par dessus les gaige ordinaire qui luy soit compte par les escroues de lostel par la maniere que ledit chevalier la prenoit de feu monseigneur le duc de Bourgoingne pere de monseigneur que Dieux absoille a paier a deux termes cest assavoir la moitie a noel et lautre moitie a la saint Jehan Baptiste ensuivante dont le premier terme au noel 1405 si comme il appert par lettres de mondit seigneur donnee a Douay le 10e jour de juillet lan dessus dit desquelles le transfcept collacionne a loriginal par lun des secretaires de mondit seigneur est cy rendu""";Douai;Pension de 500 fr./an, payée en deux termes (Noël et la Saint Jean-Baptiste);;;10 July 1405;ADCO, B 1543, f° 70 r°
17;Jean sans Peur;;217;Guillaume II de Namur;Comte de Namur;Partie de pension annuelle de 3000 fr/an;Aucune mention;300 fr.;;;1 August 1405;ADCO, B 1554, f° 51 r°
18;Jean sans Peur;;293;Jean de Chevenon;Seigneur de Chevenon, conseiller du duc;"""Sachent tint que Je, Jehan de Chevenon, escuier descuerie du Roy et conseiller de monseigneur le duc de Bourgoingne. Congnons et confesse avoir eu et receu de Jehan de Vellery, maistre de la chambe aux deniers de mondit seigneur, la somme de trente frans. Sur ce qui me peult estre du a cause de mes gaiges ou pencion. Tesmoing mon scel mis a ceste presente quittance le darrain jour daoust lan mil CCCC et cinq.[Sceau]""";Aucune mention;30 fr. monn. royal (quittance);;;31 August 1405;ADCO, B 364, liasse 73, c. 38
19;Jean sans Peur;;502;Guillaume de Saint-Mesmes;Ecuyer-échanson du duc et serviteur de Marguerite de Bourgogne, duchesse de Guyenne;"""Sachent tint que Je, Guillaume de St Mesme, eschanson de ma dame de Guyenne. Confesse avoir eu et receu de Jehan de Velery, maistre de la chambre aux deniers et commis ala Recepte des finances de monseigneur le duc de Bourgoingne, la somme de vint deux frans et demi. Sur ce que mondit seigneur me doit de ma pension. De laquelle somme de XXII fr. demi je me tieng pour content et en quicte mondit seigneur, sondit commis et tous autres. Tesmoing mon scel cy mis le IIIe jour de septembre mil quatrecens et cinq""";Aucune mention;22 fr. demi monn. royal (quittance);;;3 September 1405;ADCO, B 367, liasse 5, c. 199
20;Jean sans Peur;;406;Pons de Perellos;Chevalier, conseiller et chambellan du duc;"""Gaige ou pension de 500 fr. chascun an oultre et pardessus les gaige ordinaire ou livree a luy ordonnez par mondit seigneur prendre et avoir par les mains du receveur general de ses finances a paier a deux termes cest assavoir Pasques et St Remy dont le premier paiement mondit seigneur veult commence au terme de Pasques lan 1406 et parmi ce le dessus nomme messire Ponce a prins e juie es mains de mondit seigneur par la foy et loralte de son corps de bien et loyaulment conseiller mondit seigneur en tous ses affaires et besoingnes et aussi le servir contre tous ceulx qui peuvent vivre e mourir excepte contre le Roy messire le duc de Guienne dalphin de viennoys le Roy daragon seigneur droitture et naturel dudit messire Ponce si comme toute ces choses et autres sont plus a plain contenu es lettres de mondit seigneur donnee a Paris le 14e jour de septembre lan 1405 ainsi signe par monseigneur le duc""";Paris;Pension de 500 fr./an, payée en deux termes (Pâques et Saint-Rémi);;;14 September 1405;ADCO, B 1543, f° 68 r°
21;Jean sans Peur;;559;Adolphe II de Clèves;Comte de Clèves et de La Marck;Pension de 1000 écus d'or/an, payée chaque année à la fête de la Toussaint à Adolphe, comte de Clèves et de Marlre (Marck), homme lige devant servir face à tous, exceptés le roi des Romains, l'archevêque de Cologne, le duc de Gheldre ;Aucune mention;1000 écus/an;;;2 October 1405;ADCO, B 1547, f° 74 r°
22;Jean sans Peur;;293;Jean de Chevenon;Seigneur de Chevenon, conseiller du duc;"""Je, Jehan seigneur de Chevenon, Conseiller de monseigneur le duc de Bourgoingne. Confesse avoir eu et receu de Jehan de Velery, maistre de la chambre aux deniers et commis a la Recepte generale des finances de mondit seigneur, la somme de quatre vins quinze frans dor. Sur c quil mest et sera deu a cause de ma pension de trois cens frans que mondit seigneur ma donne et ordonne pranre et avoir de lui chacun an. Si comme par lettres patentes de mondit seigneur surce faites donnees a Arras le XIIIIe jour doctobre mil CCCC et quatre puet plus a plain apparoir. De laquelle somme de IIIIxxXV fr. je me tien pour contans et bien paiez, et en quitte le dit Velery et tous autres. Tesmoing mon scel cy mis le XIIIIe jour doctobre lan mil quatrecens et cinq.[Sceau]""";Aucune mention;95 fr. d'or (quittance);;;14 October 1405;ADCO, B 364, liasse 73, c. 38
23;Jean sans Peur;;158;Jean de Thoisy;Conseiller du duc et archidiacre en l'église d'Arras;Paiement de sa pension;Aucune mention;200 fr.;;;8 November 1405;ADCO, B 1543, f° 72 r°
24;Jean sans Peur;;2159;Jean de Wildemberch (?);Seigneur de Wildemberch, chevalier;"""A cause de sa pension a vie a luy ottroier par mondit seigneur qui est de 40 fr. par an a les tenir en soy de mondit seigneur et de ses predecesseurs par la maniere que feux nobles [...] de bonne memoire messire Loys et Philippe jadis contes de Flandres aieul et pere de mondit seigneur les lui donnerent sur l recepte de Malines par certain traite nagaire fait avec luy par mondit seigneur moyennant que ycelluy seigneur lui ce conferme et renouvelle par dictes lettres de pension et fief a vie de 40 fr. par an a quittance la somme de 800 fr. ou environ daraige de plusieurs annees a luy deuz du temps de feu mondit seigneur a cause de ladicte pension pri la somme de 100 écus dor appelez couronne dont le dit chevalier a eu compte 50 escus et les autres 50 escus dor eu a la saint Jehan lan 1406 suivante tout ces causes sont plus a plain contenu es lettres de mandement de mondit seigneur donnee a Paris le premier jour de decembre 1405 cy rendu par laquelle il confesse estre devenu homme de fief de mondit seigneur et priet par les foy et benit de son corps de servire bien et loyalment a monseigneur e ses hommes sa vie durant cause que bon et loyal homme e fief""";Paris;Pension de 50 écus /an;;;1 December 1405;ADCO, B 1547, f° 67 r°
25;Jean sans Peur;;2160;Jacques du Bois;Licencié en lois, conseiller et avocat du duc au Châtelet;"""Illec a pension de 10 fr. par an tant quil plaira a mondit seigneur si comme il appert par mandement dicelluy seigneur donne a Paris le 4e jour de decembre lan 1405 duquel la copie collacionne a loriginal fait soubz la scelle du chastellet de Paris est cy rendu a compt pour ce cy rendu audit maistre""";Paris;Pension de 10 fr./an;;;4 December 1405;ADCO, B 1543, f° 71 v°
26;Jean sans Peur;;152;Regnier Pot;Chevalier, conseiller et chambellan du duc;"""Jehan duc de Bourgoingne, Conte de Flandres, Dartois et de Bourgoingne palatin, seigneur de Salins et de Malines. A tous ceux que ces presentes lettres verrent salut. Savoir faisons que nous considerans et regardans les grans, notables et aggreables services que notre ame et feal chevalier, conseiller et chambellan messire Regnier Pot nous a en maintes manieres longuement fais et fait encore de jour en jour et pour lui aussi estre plus lie et astraint de y perseverer toute sa vie. A ycellui messire Regnier oultre et par dessus la somme de Vc fr. que par noz autres lettres lui avons donne par an tant quil nous plaira avoir de grace especial donne et donnons par ces presentes la somme de Cinq cens frans de pension par an tant comme il vivera a prenre ycelle somme de Cinq cens frans a vie sur la Recepte de notre chastellenie de Viez Chastel en notre duchie de Bourgoingne par les mains de notre chastellain ou Receveur dudit lieu de Viez Chastel, a deux termes en lan. Cest assavoir saint Jehan et Noel dont le premier terme et paiement sera a la sainte Jehan prochainement venant et ainsi dan en an et de terme en terme la vie du dit messire Regnier durant. Si donnons en mandement a notre ame et feal tresbriez et gouverneur general de noz financs present et avenir que par notre chastellain ou Receveur dicellui lieu de Viez Chastel que ores lest ou sera pour le temps, face de cy en avant paier, baillier et delivrer au dessus nomme messire Regnier aux termes et en la maniere que dit est la dite pension de Vc frans a vie par an. Ce par rapportant vidimus de ces mesmes presentes soubz scel autentique ou copie collacionnee par lun de noz secretaires ou en la chambre de noz comptes a Dijon pour une et la premiere foiz seulement et quittance dudit messire Regnir de chascun paiement. Nous voulons tout ce que paie lui en aura este estre alloue es comptes et rabatu de la Recepte de notre dit chastellain ou Receveur de Viez Chastel par noz amez et feaulx les gens de noz dit comptes au dit lieu de Dijon, sanz contredit ne difficulte. Non obstant ladicte autre pension de Vc fr. quil a de nous par an tant quil nous plaira comme dit est et quelxconques ordonnances, mandements ou deffenses a ce contraires. En tesmoing de ce que nous avons fait mectre notre scel a ces lettres. Donne a Paris le XIe jour de decembre lan de grace quatrecens et cinq. Ainsi signe par monseigneur le duc J. de Keythulle. Cy apres sensuit la verifficacion faite au dos des lettres Jehan Chousat, conseiller, tresorier et gouverneur general des financs de monseigneur le duc de Bourgoingne, Conte de Flandres, Dartois et de Bourgoingne, Huguenin Mongeart, chastellain de Viezchastel, acomplissiez le contenu au blanc en ces presentes par la maniere que mondit seigneur le mande. Escripte le XXIIe jour de janvier lan mil CCCC et cinq, J. Chousat. Je, Guillaume Chenilly, Receveur general du duchie et conte de Bourgoingne, pour monseigneur le duc Huguenin Mengeart, chastellain de Viez chastel, accomplissant le contenu au blanc de ces presentes par la maniere que mon dit seigneur et son tresorier le mandent. Escript le XXVe jour de fevrier lan mil CCCC et cinq. G. Chenilly""";Paris;Pension de 500 fr. monn. royal/an, payée en deux termes (la Saint-Jean et Noël);;;11 December 1405;ADCO, B 354, liasse 67, c. 112
27;Jean sans Peur;;559;Adolphe II de Clèves;Comte de Clèves et de La Marck;"""Auquel mondit seigneur a donne et ottroye la somme de 1000 écus dor appellez couronnes chacun an de pension annuelle pour ceulx prendre sur la retenu des finances generales dicelluy seigneur [...]  ledit comte est devenu homme de mondit seigneur contre tous excepte le Roy des Romains larchevesque de coulogne et le duc de Guelre et pour le premier paiement de la dicte somme mondit seigneur veult commence a la toussains";Paris;Pension de 1000 écus/an, payé à la Toussaint;;;18 December 1405;ADCO, B 1543, f° 67 v° et 68 r°
28;Jean sans Peur;;226;Antoine de Craon;Cousin, conseiller et chambellan du duc;"""Pour sa pension qui est de 300 fr. par an a compte de la date des lettres de monseigneur cy apres tant quil plaira a mon dit seigneur ce pour aidier audit chevalier a supporte les charges quil luy a supporte et faire ou service de monseigneur e afin quil soit plus astraint de servir mon dit seigneur comme ces autres choses sont plus a plain contenues es lettres de mondit seigneur donnee a Paris le 19e jour de decembre lan 1405 ainsi signe par monseigneur le duc desquelles coppies collacionne a loriginal par lun des secretaires tant de mondit seigneur ese cy rendu""";Paris;Pension de 300 fr/an;;;19 December 1405;ADCO, B 1543, f° 68 v°
29;Jean sans Peur;;359;Waléran III de Luxembourg;Comte de Saint-Pol;"""Pour les causes contenues et declaires en ycelles a retenu alui et son service et pour ce faire lui a mon dit seigneur ordonne prendre et avoir de lui de pencion la somme de 4000 fr. chacun an tant comme il lui plaira a paier a deux termes en lan cest assavoir Saint Jean et Noel le premier terme commeancant a la Saint Jehan 1406""";Paris;Pension de 4000 fr/an, payée en deux termes (Saint-Jean et Noël);;;1 January 1406;ADCO, B 1547, f° 75 r°
30;Jean sans Peur;;275;Regnaudin Doriac;Conseiller du duc;"""Auquel mondit seigneur eust pieca ordonne la somme de 300 fr. de pension par an pour la charge quil avoit lors au gouvernement des finances de mondit seigneur tant quil avoit la dicte charge et pour ce que mondit seigneur a descharge ledit Regnauldin de la charge dessus dicte pour lemploier en ses autres besoingne et affaire et par ce ne pourroit lever ne prendre sesdits gaiges pour quoy mondit seigneur [...] par ses lettres donnees a Paris le 8e jour de janvier lan 1405 veult et lui plaist que ladicte pension de 300 fr. audit Regnauldin afin quil soit plus tenus de perserverer es besoingnes et affaires de mondit seigneut tant comme il luy plaira moyennant laquelle ledit Regnauldin a tenus de servir mondit seigneur tant a Paris comme dehors en sa compaignie ou ailleurs ou mon dit seigneur le vouldra envoier en e par ses dictes besoingnes sans avoir ne prendre dicelluy seigneur aucuns autres gaige quelconques excepte tant seulement un escu dor par jour quant par lordonnance dudit seigneur et tant quil demoura pour le fait du service dicelluy seigneur hors dudit lieu de Paris si comme toute ces choses et autres sont plus a plain contenues es dictes lettres desquelles la coppie collacionne a loriginal plus a plain par lun des secretaires de mon dit seigneur est cy rendu""";Paris;Pension de 300 fr/an;;;8 January 1406;ADCO, B 1543, f° 69 v°
31;Jean sans Peur;;293;Jean de Chevenon;Ecuyer et conseiller du duc;Paiement d'une partie de sa pension;Aucune mention;65 fr.;;;14 January 1406;ADCO, B 1543, f° 68 v°
32;Jean sans Peur;;293;Jean de Chevenon;Ecuyer, conseiller et chambellan du duc;"""Lequel tant pour consideracion des bons notables et agreables services quil a fais ou temps passe dilligemment et loyalment a mondit seigneur fait chacun jour jucessamment et espoire que face ou temps advenir comme aussi affin que doresenavant il soit plus astraint et obligie de le servir dilligemment et quil ait mieux de quoy maintenir et soustenir son estat ou service de mondit seigneur mesment que par les escroues de la despence de lostel dudit seigneur il ne prent aucuns gages ou livree, ycelui seigneur par ses lettres donneez a Paris le 8e jour de février 1406 et pour les causes dessus dictez lui a ordonne prendre et avoir de lui chacun an tant comme il lui plaira la somme de 500 fr. dor de pencion oultre et pardessus les gages de 2 écus par jour que ycelui seigneur lui a par les dictes lettres ordonnee prendre et avoir de lui toutes les fois qui il yva et chevauchera hors de lostel et compaignie de mondit seigneuret pour ses fais et besoingnes, ladicte pencion de 500 fr. a paier a II termes en lan cest assavoir Saint Jehan et Noel le premier terme commencant a la Saint Jehan 1406. Pour ce paie audit Jehan pour les dis deux termes cest assavoir Saint Jehan et Noel 1406 de lan par sa quittance cy rendue avec la coppie des dictes lettres colacione par maistre Guillaume Vignier secretaire de mondit seigneur 500 fr. d'or pour ce""";Paris;Pension de 500 fr/an, payée en deux termes (Saint-Jean et Noël). La somme de 500 fr. est rayée et remplacée par celle de 250 fr.;;;8 February 1406;ADCO, B 1547, f° 76 v° et 77 r°
33;Jean sans Peur;;2161;Henri de Thoisy;Avocat et conseiller du duc au Parlement;"""Aux gaige ou pension de 70 fr. par an tant quil plaira a mondit seigneur si comme il appert par mandement dicelluy seigneur donne a Paris le 10e jour de fevrier 1405 duquel la coppie collacionne a loriginal par lun des secretaires de mondit seigneur est cy rendu""";Paris;Pension de 70 fr/an;;;10 February 1406;ADCO, B 1543, f° 72 r°
34;Jean sans Peur;;68;Martin Poree;Confesseur du duc;"""Auquel mon dit seigneur donna de grace especial pour une foiz la somme de 60 escus dor tant pour ce que monseigneur ne la encore daucune pension annuelle pour recompensacion dun mandement de 60 escus qui lui estoient deus du temps de feu monseigneur cui dieu pardoint lequel mandement mon dit seigneur a fait tasser et pour autres causes plus a plain contenu e declairees es lettres patentes dudit seigneur sur ce fais""";Arras;60 écus d'or;;;27 February 1406;ADCO, B 1543, f° 101 r°
35;Jean sans Peur;;601;Robert de Wavrin;Seigneur de Wavrin, conseiller et chambellan du duc;Pension de 80 fr./mois, chaque fois que ledit Robert de Wavrin sera en la compagnie ou l'hôtel du duc;Aucune mention;Pension de 80 fr./mois;;;2 April 1406;ADCO, B 1558, f° 62 r°
36;Jean sans Peur;;406;Pons de Perellos;Chevalier, conseiller et chambellan du duc;Pension annuelle de 500 fr/an, pour le terme de Pâques;Aucune mention;250 fr. (quittance);;;1 May 1406;ADCO, B 1554, f° 52 v°
37;Jean sans Peur;;67;Guillaume de Bours, dit Wittard;Chevalier, conseiller et chambellan du duc;"""Pour sa pension de 400 fr. dor par an a yceulx prendre et avoir sur la dicte recepte generale des finances de mondit seigneur tant comme il lui plaira a deux termes cest assavoir a la saint Remy 200 fr. e a pasques autant dont le premier paiement mon dit seigneur veult estre a la Saint Remy lan 1406 ce tant pour consideracion des grans notables et agreables services que ledit chevalier a faiz a mon dit seigneur le temps passe fait chacun jour et espere que face ou temps avenir comme aussi afin quil ait mieulx de quoy soustenir son estat et quil soit plus astraint de servir diligemment mondit seigneur si comme il appert par lettres dicelluy seigneur donnee a Paris le 4e jour de may lan dessus dit desquelles lettres la coppie fait soubz le scel aux causes de la ville de Lille est cy rendu""";Paris;Pension de 400 fr./an, payée en deux termes (Saint-Rémi et Pâques);;;4 May 1406;ADCO, B 1543, f° 69 v° et 70 r°
38;Jean sans Peur;;1128;Jean de Saint-Aubin;Chevalier et chambellan du duc;"""A la pension de 400 fr.par an que mondit seigneur lui a ordonne et donne sa dicte pour les bons et agreables services quil luy a faiz ou temps passe et afin quil ait mieulx de quoy servir diligemment et maintenir honorablement son estat ou service tant comme il lui plaira a deux termes cest assavoir a la saint Remy 200 fr. et pasques autant dont le premier paiement mondit seigneur veult estre a la Saint Remy lan 1406 ce tant pour consideracion des grans notables et agreables services que ledit chevalier a faiz a mondit seigneur le temps passe fait chacun jour et espere que face ou temps avenir comme aussi afin quil ait mieulx de quoy soustenir son estat et quil soit plus astraint de servir diligemment mondit seigneur si comme il appert par lettres dicelluy seigneur donnees a Paris le 4e jour de may lan dessus dit desquelles lettres le transcept fait soubz le scel aux causes de la ville de Lille est cyrendu pour ce""";Paris;Pension de 400 fr./an, payée en deux termes (Saint-Rémi et Pâques);;;4 May 1406;ADCO, B 1543, f° 70 r° et 70 v°
